date,day_type,exception_type,holiday,period,service_id
20240101,3,1,1,2,26_1V0AN
20240102,1,1,0,2,4_1V0AN
20240103,1,1,0,1,1_1V0AN
20240104,1,1,0,1,1_1V0AN
20240105,1,1,0,1,1_1V0AN
20240106,2,1,0,1,2_1V0AN
20240107,3,1,0,1,3_1V0AN
20240108,1,1,0,1,1_1V0AN
20240109,1,1,0,1,1_1V0AN
20240110,1,1,0,1,1_1V0AN
20240111,1,1,0,1,1_1V0AN
20240112,1,1,0,1,1_1V0AN
20240113,2,1,0,1,2_1V0AN
20240114,3,1,0,1,3_1V0AN
20240115,1,1,0,1,1_1V0AN
20240116,1,1,0,1,1_1V0AN
20240117,1,1,0,1,1_1V0AN
20240118,1,1,0,1,1_1V0AN
20240119,1,1,0,1,1_1V0AN
20240120,2,1,0,1,2_1V0AN
20240121,3,1,0,1,3_1V0AN
20240122,1,1,0,1,1_1V0AN
20240123,1,1,0,1,1_1V0AN
20240124,1,1,0,1,1_1V0AN
20240125,1,1,0,1,1_1V0AN
20240126,1,1,0,1,1_1V0AN
20240127,2,1,0,1,2_1V0AN
20240128,3,1,0,1,3_1V0AN
20240129,1,1,0,1,1_1V0AN
20240130,1,1,0,1,1_1V0AN
20240131,1,1,0,1,1_1V0AN
20240201,1,1,0,1,1_1V0AN
20240202,1,1,0,1,1_1V0AN
20240203,2,1,0,1,2_1V0AN
20240204,3,1,0,1,3_1V0AN
20240205,1,1,0,1,1_1V0AN
20240206,1,1,0,1,1_1V0AN
20240207,1,1,0,1,1_1V0AN
20240208,1,1,0,1,1_1V0AN
20240209,1,1,0,1,1_1V0AN
20240210,2,1,0,1,2_1V0AN
20240211,3,1,0,1,3_1V0AN
20240212,1,1,0,2,4_1V0AN
20240213,1,1,0,2,5_1V0AN
20240214,1,1,0,2,4_1V0AN
20240215,1,1,0,1,1_1V0AN
20240216,1,1,0,1,1_1V0AN
20240217,2,1,0,1,2_1V0AN
20240217,2,1,0,1,12_1V0AN
20240218,3,1,0,1,13_1V0AN
20240218,3,1,0,1,3_1V0AN
20240219,1,1,0,1,1_1V0AN
20240220,1,1,0,1,1_1V0AN
20240221,1,1,0,1,1_1V0AN
20240222,1,1,0,1,1_1V0AN
20240223,1,1,0,1,1_1V0AN
20240224,2,1,0,1,2_1V0AN
20240224,2,1,0,1,12_1V0AN
20240225,3,1,0,1,13_1V0AN
20240225,3,1,0,1,3_1V0AN
20240226,1,1,0,1,1_1V0AN
20240227,1,1,0,1,1_1V0AN
20240228,1,1,0,1,1_1V0AN
20240229,1,1,0,1,1_1V0AN
20240301,1,1,0,1,1_1V0AN
20240301,1,1,0,1,11_1V0AN
20240302,2,1,0,1,12_1V0AN
20240302,2,1,0,1,2_1V0AN
20240303,3,1,0,1,3_1V0AN
20240303,3,1,0,1,13_1V0AN
20240304,1,1,0,1,11_1V0AN
20240304,1,1,0,1,1_1V0AN
20240305,1,1,0,1,1_1V0AN
20240305,1,1,0,1,11_1V0AN
20240306,1,1,0,1,11_1V0AN
20240306,1,1,0,1,1_1V0AN
20240307,1,1,0,1,1_1V0AN
20240307,1,1,0,1,11_1V0AN
20240308,1,1,0,1,11_1V0AN
20240308,1,1,0,1,1_1V0AN
20240309,2,1,0,1,2_1V0AN
20240310,3,1,0,1,3_1V0AN
20240311,1,1,0,1,1_1V0AN
20240311,1,1,0,1,91_1V0AN
20240312,1,1,0,1,91_1V0AN
20240312,1,1,0,1,1_1V0AN
20240313,1,1,0,1,1_1V0AN
20240313,1,1,0,1,91_1V0AN
20240314,1,1,0,1,91_1V0AN
20240314,1,1,0,1,1_1V0AN
20240315,1,1,0,1,1_1V0AN
20240315,1,1,0,1,91_1V0AN
20240316,2,1,0,1,92_1V0AN
20240316,2,1,0,1,2_1V0AN
20240317,3,1,0,1,3_1V0AN
20240317,3,1,0,1,93_1V0AN
20240318,1,1,0,1,91_1V0AN
20240318,1,1,0,1,1_1V0AN
20240319,1,1,0,1,1_1V0AN
20240319,1,1,0,1,91_1V0AN
20240320,1,1,0,1,91_1V0AN
20240320,1,1,0,1,1_1V0AN
20240321,1,1,0,1,1_1V0AN
20240321,1,1,0,1,91_1V0AN
20240322,1,1,0,1,91_1V0AN
20240322,1,1,0,1,1_1V0AN
20240323,2,1,0,1,2_1V0AN
20240323,2,1,0,1,92_1V0AN
20240324,3,1,0,1,93_1V0AN
20240324,3,1,0,1,3_1V0AN
20240325,1,1,0,1,1_1V0AN
20240325,1,1,0,1,91_1V0AN
20240326,1,1,0,1,91_1V0AN
20240326,1,1,0,1,1_1V0AN
20240327,1,1,0,1,1_1V0AN
20240327,1,1,0,1,91_1V0AN
20240328,1,1,0,2,94_1V0AN
20240328,1,1,0,2,4_1V0AN
20240329,3,1,1,2,6_1V0AN
20240330,2,1,0,2,5_1V0AN
20240331,3,1,1,2,6_1V0AN
20240401,1,1,0,2,4_1V0AN
20240401,1,1,0,2,94_1V0AN
20240402,1,1,0,2,94_1V0AN
20240402,1,1,0,2,4_1V0AN
20240403,1,1,0,1,1_1V0AN
20240403,1,1,0,1,91_1V0AN
20240404,1,1,0,1,91_1V0AN
20240404,1,1,0,1,1_1V0AN
20240405,1,1,0,1,1_1V0AN
20240405,1,1,0,1,91_1V0AN
20240406,2,1,0,1,92_1V0AN
20240406,2,1,0,1,2_1V0AN
20240407,3,1,0,1,3_1V0AN
20240407,3,1,0,1,93_1V0AN
20240408,1,1,0,1,91_1V0AN
20240408,1,1,0,1,1_1V0AN
20240409,1,1,0,1,1_1V0AN
20240409,1,1,0,1,91_1V0AN
20240410,1,1,0,1,91_1V0AN
20240410,1,1,0,1,1_1V0AN
20240411,1,1,0,1,1_1V0AN
20240411,1,1,0,1,91_1V0AN
20240412,1,1,0,1,91_1V0AN
20240412,1,1,0,1,1_1V0AN
20240413,2,1,0,1,2_1V0AN
20240413,2,1,0,1,92_1V0AN
20240414,3,1,0,1,93_1V0AN
20240414,3,1,0,1,3_1V0AN
20240415,1,1,0,1,1_1V0AN
20240415,1,1,0,1,91_1V0AN
20240416,1,1,0,1,91_1V0AN
20240416,1,1,0,1,1_1V0AN
20240417,1,1,0,1,1_1V0AN
20240417,1,1,0,1,91_1V0AN
20240418,1,1,0,1,91_1V0AN
20240418,1,1,0,1,1_1V0AN
20240419,1,1,0,1,1_1V0AN
20240419,1,1,0,1,91_1V0AN
20240420,2,1,0,1,92_1V0AN
20240420,2,1,0,1,2_1V0AN
20240421,3,1,0,1,3_1V0AN
20240421,3,1,0,1,93_1V0AN
20240422,1,1,0,1,91_1V0AN
20240422,1,1,0,1,1_1V0AN
20240423,1,1,0,1,1_1V0AN
20240423,1,1,0,1,91_1V0AN
20240424,1,1,0,1,91_1V0AN
20240424,1,1,0,1,1_1V0AN
20240425,3,1,1,1,3_1V0AN
20240425,3,1,1,1,93_1V0AN
20240426,1,1,0,1,91_1V0AN
20240426,1,1,0,1,1_1V0AN
20240427,2,1,0,1,2_1V0AN
20240427,2,1,0,1,92_1V0AN
20240428,3,1,0,1,93_1V0AN
20240428,3,1,0,1,3_1V0AN
20240429,1,1,0,1,1_1V0AN
20240429,1,1,0,1,91_1V0AN
20240430,1,1,0,1,91_1V0AN
20240430,1,1,0,1,1_1V0AN
20240501,3,1,1,1,3_1V0AN
20240501,3,1,1,1,97_1V0AN
20240502,1,1,0,1,97_1V0AN
20240502,1,1,0,1,1_1V0AN
20240503,1,1,0,1,1_1V0AN
20240503,1,1,0,1,97_1V0AN
20240504,2,1,0,1,98_1V0AN
20240504,2,1,0,1,2_1V0AN
20240505,3,1,0,1,3_1V0AN
20240505,3,1,0,1,99_1V0AN
20240506,1,1,0,1,97_1V0AN
20240506,1,1,0,1,1_1V0AN
20240507,1,1,0,1,1_1V0AN
20240507,1,1,0,1,97_1V0AN
20240508,1,1,0,1,97_1V0AN
20240508,1,1,0,1,1_1V0AN
20240509,1,1,0,1,1_1V0AN
20240509,1,1,0,1,97_1V0AN
20240510,1,1,0,1,97_1V0AN
20240510,1,1,0,1,1_1V0AN
20240511,2,1,0,1,2_1V0AN
20240511,2,1,0,1,98_1V0AN
20240512,3,1,0,1,99_1V0AN
20240512,3,1,0,1,3_1V0AN
20240513,1,1,0,1,1_1V0AN
20240513,1,1,0,1,97_1V0AN
20240514,1,1,0,1,97_1V0AN
20240514,1,1,0,1,1_1V0AN
20240515,1,1,0,1,1_1V0AN
20240515,1,1,0,1,97_1V0AN
20240516,1,1,0,1,97_1V0AN
20240516,1,1,0,1,1_1V0AN
20240517,1,1,0,1,1_1V0AN
20240517,1,1,0,1,97_1V0AN
20240518,2,1,0,1,98_1V0AN
20240518,2,1,0,1,2_1V0AN
20240519,3,1,0,1,3_1V0AN
20240519,3,1,0,1,99_1V0AN
20240520,1,1,0,1,97_1V0AN
20240520,1,1,0,1,1_1V0AN
20240521,1,1,0,1,1_1V0AN
20240521,1,1,0,1,97_1V0AN
20240522,1,1,0,1,97_1V0AN
20240522,1,1,0,1,1_1V0AN
20240523,1,1,0,1,1_1V0AN
20240523,1,1,0,1,97_1V0AN
20240524,1,1,0,1,97_1V0AN
20240524,1,1,0,1,1_1V0AN
20240525,2,1,0,1,2_1V0AN
20240525,2,1,0,1,98_1V0AN
20240526,3,1,0,1,99_1V0AN
20240526,3,1,0,1,3_1V0AN
20240527,1,1,0,1,1_1V0AN
20240527,1,1,0,1,97_1V0AN
